time,sat_id,az,el,pseudorange,carrier_phase,doppler,true_range,sat_x,sat_y,sat_z,sat_vx,sat_vy,sat_vz
3,954,26.170685827880448,14.622266783844044,1549877.2132500208,1549876.9178776294,989.9331186111954,1549864.4830309185,1121936.014651306,5888452.827839702,3484403.1803957527,-4240.673788140475,3595.9523874994916,-4702.042670902419
3,1453,-61.215921141517256,13.685667985344459,1575449.2670683058,1575449.1050657423,755.6323309508223,1575433.0508565153,3089588.386941309,5472197.552378417,2902910.433439988,-5153.40623032752,176.57173130238536,5161.401832281442
3,1475,-47.1289994104601,23.374957444677182,1162798.801270754,1162798.8270831804,-63.7610460936026,1162788.3694238812,2580755.9030832467,5720281.013495021,2921587.9186687614,-5160.492816795298,-296.64172882038883,5148.722166568139
3,1496,-115.65835649120743,11.089937825008537,1728047.2350452645,1728047.5493064912,2718.267878295736,1728028.857490608,3398618.172233327,5840249.9889696725,1499197.4969231994,-4269.648449545945,988.7411042433353,5836.705456735554
3,1497,-16.59212410871988,33.312740140913085,913827.4730477809,913827.802320452,-1425.6318659927585,913820.4106144399,2052313.2865477388,5921225.728567035,2940219.3173034084,-5124.146914340373,-769.5570122615907,5135.961366053886
3,1518,-128.7930237814683,20.180487871118828,1273536.5602300388,1273536.5804663238,2801.0157993320454,1273524.760216012,2859361.900529139,6117144.799605623,1520332.6874938004,-4351.8480395728975,587.5189570006938,5830.129572560207
3,1519,24.667495514746285,30.773808298552602,965932.0922370474,965932.3986801254,-2572.712789480016,965925.3933466307,1508613.6763149807,6073512.84391794,2958804.335735442,-5044.49226601501,-1238.18996100328,5123.119633437154
3,1540,-156.25615127178594,31.288506897215203,953537.5550422061,953537.4586839747,2569.494880537023,953529.5546096066,2297800.18213548,6344367.02010721,1541443.8874882702,-4396.4423780343395,179.68301947099377,5823.461714390139
3,1541,48.818239567542314,20.008917868474832,1281780.22176508,1281780.033072503,-2817.1422066968967,1281770.8413064599,954123.037175088,6176024.664106301,2977342.6810943307,-4922.017440152048,-1698.5786673806992,5110.197173079451
3,1562,159.07339466905222,32.767538172276566,923233.7535198993,923233.9119388825,1468.4363427956284,923227.1536506606,1718498.8816630591,6520145.231656771,1562530.7638558946,-4402.921759966652,-231.25094233402962,5816.701988382174
3,1563,59.80476013184217,11.254140744224223,1719573.1319613946,1719572.8564735325,-2716.2847154893666,1719558.7199908425,393386.19659198966,6228052.0221038535,2995834.061250611,-4757.57339035827,-2146.8144826429207,5097.194190237359
4,1,127.47414088238179,22.02807204493046,1206306.019268395,1206306.4048861647,219.51234309716932,1206297.9484030572,1117903.0182565784,6643136.830193133,1589401.8778621594,-4372.164478597188,-651.6092673866777,5807.936189547781
4,23,112.8423291777963,12.421202636967392,1646176.2993763785,1646176.3248749431,-458.8748468742963,1646163.3548304355,517364.77069590776,6711640.970865525,1610432.153562429,-4301.300873849421,-1058.1261287410841,5800.967697630037
4,802,-149.58168998999776,10.594718325564052,1791918.9038074724,1791918.932049594,-1372.681130844403,1791900.6223907308,2864768.616850247,6270146.616872422,756694.0398253123,-3441.687037803696,2297.0332949607605,-5994.8820045520015
4,823,-88.66039721269645,15.750071876837566,1494179.3316672042,1494179.7450682756,1639.8986102899737,1494164.9676075687,3258253.0034688795,5693270.831070823,2248841.2777142366,-2826.0176053149285,3805.301861030101,-5529.8001897082895
4,824,-169.943783009103,13.307533703498962,1625286.5246384107,1625285.9655214248,-2157.568626101324,1625271.1656771512,2292557.9453351214,6503712.392594438,734968.1637765558,-3638.1669039099465,1961.299653995808,-5998.110885345255
4,845,-91.42162028490321,30.37298607654082,994851.2077256553,994850.3616371799,1426.7290172344008,994841.5091184388,2736703.4976308276,5969082.080734775,2228788.8257017527,-3157.7844473389273,3519.6675951618545,-5539.496049269701
4,846,167.76658135046807,12.786579933351673,1655379.2169532608,1655379.4657795127,-2761.218103169558,1655365.1510869246,1701522.3738465656,6685091.498775723,713230.7578029106,-3802.1874663214635,1608.9791237980025,-6001.245663007512
4,867,-102.33062842874011,63.33105863304419,616412.4111918072,616412.5428859234,544.9554423409955,616407.4863917159,2191938.5097081633,6197110.853112164,2208701.4012724105,-3461.13304119243,3205.301996730917,-5549.104936856824
4,888,-33.964543833044345,11.403660051869002,1736052.2933847907,1736052.5941761234,2994.2791987802366,1736035.0832019781,2642986.965241801,5349997.625212128,3530604.8043979052,-3137.7105547358046,4632.022121296313,-4660.655147322497
4,889,103.92726530901028,58.923812937986206,640391.8319819999,640391.8085456686,-1234.759596784926,640387.4585642664,1628335.3824192022,6375416.455566038,2188579.3197871507,-3733.593079582083,2864.9969964556176,-5558.626703114958
4,910,-16.841529901580405,15.797371301736986,1489731.9136617158,1489732.034267634,2706.2250684818364,1489718.7898398729,2152417.1077508098,5576230.041966961,3513691.2884784862,-3537.6152549465223,4317.8693528900285,-4675.915907615229
4,911,95.18875890063815,28.472297808357457,1040081.089729129,1040081.1442704268,-1875.686287940012,1040074.4956043726,1050432.1622977229,6502459.139941433,2168422.8971474175,-3972.96578492256,2501.755151771762,-5568.061199570722
4,932,5.307269951381652,17.302137224316304,1418384.020283861,1418384.759926445,1973.8199796815297,1418373.1617837434,1642609.6020828763,5757453.710265976,3496722.614842485,-3906.516526165459,3969.3741861802373,-4691.10314694183
4,933,92.62707499421587,14.729716859856492,1546411.7510112647,1546411.603590285,-2026.981624729144,1546400.4626973085,462891.346894992,6577113.190904243,2148232.449787867,-4177.341527087215,2118.7637467972413,-5577.40827959002
4,954,26.43329304506754,14.663227218591445,1547725.9888628002,1547725.8605419172,977.4533512279742,1547713.4618270353,1117694.9338126725,5892045.585285405,3479699.0502771977,-4241.482508506673,3589.5609152055185,-4706.216628212399
4,1453,-60.9514270278851,13.715507885309776,1573810.804630881,1573810.887702534,742.7001113071652,1573794.8620068294,3084433.143734779,5472371.227254576,2908070.084917897,-5157.07477034625,170.7755315403574,5157.900090634603
4,1475,-46.73752471159525,23.37021535449799,1162958.936861783,1162958.8817460306,-82.62861129571426,1162948.422302252,2575593.8432645025,5719981.326891494,2926734.8792668693,-5163.621459687537,-302.73335312403185,5145.197999356344
4,1496,-115.55080478863773,11.183240403262525,1722106.8877351568,1722107.0064427166,2715.0428920625677,1722088.4198925123,3394346.5583419036,5841235.544221332,1505033.2966729437,-4273.573892121683,982.3665447832966,5834.892870111115
4,1497,-16.13898200520925,33.15065502998456,916966.6606005946,916966.3357194713,-1444.9222598470133,916958.9238757907,2047187.8541516387,5920453.003790606,2945353.5059153726,-5126.712201383371,-775.8939806909484,5132.4148302108315
4,1518,-128.70798539754395,20.341095704500155,1267416.1951517633,1267415.867980516,2797.112940846068,1267404.1175030945,2855008.3807377876,6117728.972729013,1526161.8986202956,-4355.185869123633,580.8249393387339,5828.291509156153
4,1519,24.7814907918363,30.517839156502102,971566.533162158,971566.8339319644,-2580.6646876789655,971559.7880523904,1503568.1896531314,6072271.389204492,2963925.6714577796,-5046.475367480414,-1244.7203632480714,5119.5507862175955
4,1540,-156.36472616674658,31.554243347389527,947927.6363130644,947927.8441923627,2561.1580520802086,947920.0039547401,2293402.374673184,6344543.224287427,1547266.418032483,-4399.166870916081,172.7235799345495,5821.598204148019
4,1541,48.741506421600036,19.85055811058461,1287943.7335862466,1287944.3078118784,-2820.8400592920166,1287935.0566858617,949200.3233919864,6174322.750373224,2982451.0832281276,-4923.404293039976,-1705.2491905396548,5106.606072153711
4,1562,158.62767264167678,32.929861179805386,920044.1095055089,920043.8785702321,1449.205300811943,920037.1579443046,1714094.9117081782,6519910.396969174,1568346.5219651542,-4405.012151254264,-238.4197236457738,5814.813061655481
4,1563,59.69747767080941,11.160694201023398,1725516.3860851235,1725516.2163686845,-2719.611627039746,1725501.9845974955,388628.2296225375,6225901.829367116,3000929.4493023697,-4758.354799748814,-2153.570847068181,5093.580893594674
5,1,127.10110280953421,22.041490120917413,1205846.399100411,1205846.4923795422,201.1246843016304,1205838.0490659473,1113530.134690274,6642481.561147026,1595208.853978222,-4373.596662793927,-658.9295437883886,5806.014875917423
